# time	signal	sigma
-4.160749921993179975e-06	4.426235630141766826e-05	1.900702836965899572e-03
-4.158749922049743838e-06	4.378685999192636290e-05	1.899610819905570014e-03
-4.156749922106307701e-06	4.303759110352084125e-05	1.898237505413056777e-03
-4.154749922162871563e-06	4.306922323159441401e-05	1.899230878991153750e-03
-4.152749922219435426e-06	4.338825868206548577e-05	1.898703878133617320e-03
-4.150749922275999289e-06	4.256784374689385965e-05	1.898589921908265012e-03
-4.148749922332563152e-06	4.353466508810394163e-05	1.898473932995302458e-03
-4.146749922389127015e-06	4.487661362359744526e-05	1.897571843585858092e-03
-4.144749922445690878e-06	4.587154913747448770e-05	1.896134343899578576e-03
-4.142749922502254741e-06	4.845935130351735481e-05	1.894997978682742964e-03
-4.140749922558818604e-06	5.158975761334503522e-05	1.894307725601534391e-03
-4.138749922615382467e-06	5.597412385714431113e-05	1.905171594686689424e-03
-4.136749922671946330e-06	5.685462864857775524e-05	1.903524458256823735e-03
-4.134749922728510193e-06	5.965561666151226983e-05	1.905941429208821668e-03
-4.132749922785074056e-06	5.969656004655696018e-05	1.904132870153043590e-03
-4.130749922841637919e-06	5.875264406776896234e-05	1.905070917186316073e-03
-4.128749922898201781e-06	5.941628102719361025e-05	1.905624421468452446e-03
-4.126749922954765644e-06	5.789644347199033399e-05	1.906762388221804093e-03
-4.124749923011329507e-06	5.748137958540573797e-05	1.909281094203453067e-03
-4.122749923067893370e-06	5.512592364374259684e-05	1.913115972092678443e-03
-4.120749923124457233e-06	5.378644782498610854e-05	1.914140194426881868e-03
-4.118749923181021096e-06	5.139750817164251146e-05	1.915188491758812667e-03
-4.116749923237584959e-06	4.988385290087790397e-05	1.915387231384309448e-03
-4.114749923294148822e-06	4.852172082196813240e-05	1.914823567424165773e-03
-4.112749923350712685e-06	4.750788553766459050e-05	1.912153117103239852e-03
-4.110749923407276548e-06	4.888838511387642741e-05	1.908832532985847577e-03
-4.108749923463840411e-06	4.867300762721121310e-05	1.905397140074379693e-03
-4.106749923520404274e-06	4.735327965322690493e-05	1.900449424722792328e-03
-4.104749923576968137e-06	4.749233370996824031e-05	1.895265803707277524e-03
-4.102749923633532000e-06	4.759366239234444221e-05	1.889534509004074788e-03
-4.100749923690095862e-06	4.887608547624054439e-05	1.884218701062055201e-03
-4.098749923746659725e-06	4.857664821787066004e-05	1.878262499755535466e-03
-4.096749923803223588e-06	4.595924117569097508e-05	1.873959853447017395e-03
-4.094749923859787451e-06	4.511766966892635897e-05	1.871476283000372224e-03
-4.092749923916351314e-06	4.347473425433885956e-05	1.869502438519986699e-03
-4.090749923972915177e-06	4.115899491213568314e-05	1.870339077849679120e-03
-4.088749924029479040e-06	3.950231237263911004e-05	1.876028227529418120e-03
